material_id,formula,space_group,crystal_system,formation_energy_per_atom,band_gap,density,nsites,is_stable,energy_above_hull
mp-776361,Ti2N2O,P1,Triclinic,-1.9867672240833343,0.9390000000000001,4.3372327667433215,40,False,0.20331703400000123
mp-776362,Zr2N2O,P1,Triclinic,-2.18654282175,1.5772999999999997,5.755452899276388,40,False,0.13301871375000296
mp-776363,Zr2N2O,P1,Triclinic,-2.191401206750001,1.9769999999999994,5.750637406285562,40,False,0.12816032875000083
mp-776387,Ti2N2O,C2/m,Monoclinic,-1.967117420333335,0.36300000000000043,4.109867299678297,20,False,0.22296683775000048
mp-776441,VOF3,P-1,Triclinic,-2.6494580639999996,1.8397,3.013749817345597,20,False,0.0627597315000008
mp-776473,VOF3,P1,Triclinic,-2.686548811,2.9487,2.8485465871256364,20,False,0.025668984500000214
mp-776474,VOF3,P1,Triclinic,-2.689307203,3.0568,2.7511635369908425,20,False,0.022910592500000604
mp-776505,Cr4OF11,P-1,Triclinic,-2.880187584375,0.9281,3.6030503949352637,32,False,0.03578022995833585
mp-776537,V3OF11,P1,Triclinic,-2.8671696093333328,1.5278,2.9995036992537343,30,False,0.04024697383334086
mp-776552,Mn2OF3,C2/m,Monoclinic,-2.6193159851436785,0.4899,4.039115292430029,24,False,0.06117889347220462
mp-776577,V2OF5,C2,Monoclinic,-3.0412294896875,1.4855,3.284483896649312,32,False,0.005048263229167738
mp-776596,VOF2,P1,Triclinic,-2.8532464066666683,1.7098,3.571571655664412,24,False,0.005611798645832167
mp-776658,BaO,Cmcm,Orthorhombic,-2.812731088124999,2.2694,5.9277500353077475,32,False,0.01091161937500118
mp-776890,Rb2O,Pbca,Orthorhombic,-1.1190978749999996,0.9376,3.9573671875510814,24,False,0.014070498333333514
mp-776911,MgO,P6_3mc,Hexagonal,-2.8999533087500007,3.4257,2.816647557081739,8,False,0.1383558612499991
mp-776922,Rb2O,P3,Trigonal,-1.1305932611111114,0.19210000000000005,2.975550522999305,9,False,0.0025751122222219536
mp-776952,Na2O,P3,Trigonal,-1.3462201348084295,1.5041,2.5058169770350736,9,False,0.07951855111111028
mp-776963,Mn6OF11,P1,Triclinic,-2.836657759032567,0.03069999999999995,3.8916972692492426,36,False,0.034496442824080376
mp-776966,Sn2N2O,P1,Triclinic,-0.43703138925000007,0.10289999999999999,7.005734756817159,40,False,0.2148495717499994
